workspace,opgravingsplan,gebiedsbegrenzing,veldnaam_voor_analyse,bepaling_middelpunt,middelpunt_x,middelpunt_y,bepaling_draaihoek,draaihoek,sleuflengte,interval,afstand,breedte,configuratie,aantal_simulaties,
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,25,5,2,Hagelslag,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,25,3.33,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,25,2.5,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,80,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,40,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,26.66,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,20,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,16,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,13.33,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,11.43,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,10,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,5,2,Hagelslag,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,3.33,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,50,2.5,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,40,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,20,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,13.33,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,10,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,8,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,6.67,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,5.72,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,5,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,2.5,2,Hagelslag,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,1.67,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,1.25,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,40,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,20,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,13.33,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,10,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,8,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,6.67,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,5.72,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,5,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,2.5,2,Hagelslag,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,1.67,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,1.25,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,40,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,20,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,13.33,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,10,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,8,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,6.67,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,5.72,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,5,2,Hagelslag,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,2.5,2,Hagelslag,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,1.67,2,Hagelslag,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,50,100,1.25,2,Hagelslag,200,.csv
